x,,,,,,,,,,,,,,,,,,,,,,,,,x
,LPN,Description,Product,CM,Received by 07/31,Month End In Transit,Shipped by 07/31,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,
,90-06948B,Non Compliant BB,Battery Block,Qualitel,90,0,90,,,,,,,,,,,,,,,,,,
,90-06948C,Gen 1 LFP with cover,Battery Block,Qualitel,"5,604",0,"5,604",,,,,,,,,,,,,,,,,,
,90-07675A,Gen 1 LFP without cover,Battery Block,Qualitel,"4,596",0,"4,596","4,000","4,400","5,000","5,000","3,000",,,,,,,,,,,,,
,TBD,Pilot Cell Array Builds,Battery Block,Qualitel,0,0,0,,,,900,"1,500",,,,,,,,,,,,,
,90-08373A,Gen 2 LFP,Battery Block,Qualitel,,,,,,,,900,"4,500","4,600","5,000","5,150","5,350","5,500","6,000","6,500","6,500","7,000","7,500","7,500",
,90-06700A,"MSA Controller, Boxed	",MSA Controller,Qualitel,"1,708",300,"2,008",300,400,500,500,500,500,500,500,600,600,600,700,800,800,900,900,900,
,10-06103C,"PCBA, Terminal Board, Type C, Coated	",Inverter,Qualitel,225,0,225,450,425,300,300,300,,,,,,,,,,,,,
,10-06105C,"PCBA, Power Board, Type C, Coated",Inverter,Qualitel,282,27,309,400,391,300,300,300,,,,,,,,,,,,,
,90-001221,"Bridge, Boxed, Lunar Blue",Bridge,Sienna,419,0,419,,,,,,,,,,,,,,,,,,
,90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Bridge,Sienna,"4,968",63,"5,031",293,330,330,330,330,300,300,300,400,500,600,700,800,800,900,900,900,
,90-001223,"20kWh Hardware Kit, Lunar Blue",HW Kit,Sienna,"3,025",0,"3,025",,,,,,,,,,,,,,,,,,
,90-07290A,20kWh LFP ESS Hardware Kit,HW Kit,Sienna,"2,120",120,"2,240",250,100,100,650,665,275,275,275,,,,,,,,,,
,90-06823A,"15kWh Hardware Kit, Lunar Blue",HW Kit,Sienna,95,0,95,,,,,,,,,,,,,,,,,,
,90-003540,"Inverter with Cover and Brackets, Boxed, Lunar Blue",Inverter,Sienna,867,0,867,,,,,,,,,,,,,,,,,,
,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Inverter,Sienna,"4,805",126,"4,931",800,800,800,788,770,550,550,550,,,,,,,,,,
,90-06889C,ReMan/Rework/Refurb Type C Inverter,Inverter,Sienna,273,0,273,,,,,,,,,,,,,,,,,,
,90-002878,"Maximizer, Boxed, Box of 20",Maximizer,Sienna,"1,608",0,"1,608",,,,,,,,,,,,,,,,,,
,90-06831D ,"Maximizer, Boxed",Maximizer,Sienna,"3,518",444,"3,962",768,760,760,750,750,,,,,,,,,,,,,
,90-004034,"Maximizer Hub, Boxed",Maximizer Hub,Sienna,"5,494",324,"5,818",750,750,750,700,622,,,,,,,,,,,,,
,90-06789A,"Rogowski Coil, Boxed",Rogowski Coil,Sienna,"2,077",270,"2,347",375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,
,90-07282A,10kWh LFP ESS Hardware Kit,HW Kit,Sienna,5,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,
,90-07289A,15kWh LFP ESS Hardware Kit,HW Kit,Sienna,149,0,149,15,35,0,50,0,55,55,55,,,,,,,,,,
,90-07124A,25kWh LFP ESS Hardware Kit,HW Kit,Sienna,340,0,340,257,300,300,0,0,110,110,110,,,,,,,,,,
,90-07125A,30kWh LFP ESS Hardware Kit,HW Kit,Sienna,438,0,438,200,300,300,0,0,110,110,110,,,,,,,,,,
,,Max 2.0 [Box of 20],Maximizer,Unigen,0,0,0,0,0,15,200,330,500,600,700,"1,000","1,100","1,300","1,500","1,600","1,700","1,800","1,800","1,800",
,,Max 2.0 FAT + SAT [Box of 20],Maximizer,Unigen,0,0,0,0,0,35,,70,,,,,,,,,,,,,
,,11 kW Inverter,Inverter,Plexus,0,0,0,0,,,,50,200,400,600,800,"1,000","1,200","1,400","1,550","1,700","1,800","1,800","1,700",
,,Lunar Link,Link,TBD,0,0,0,0,,,50,50,100,100,100,150,150,200,200,250,250,250,250,250,
,,10 kWh - Gen 2 HW Kit,HW Kit,TBD,,,,0,,,,5,,,,,,,,,,,,,
,,15 kWh - Gen 2 HW Kit,HW Kit,TBD,,,,0,,,,3,10,20,30,40,50,60,70,78,85,90,90,85,
,,20 kWh - Gen 2 HW Kit,HW Kit,TBD,,,,0,,,,25,100,200,300,400,500,600,700,775,850,900,900,850,
,,25 kWh - Gen 2 HW Kit,HW Kit,TBD,,,,0,,,,10,40,80,120,160,200,240,280,310,340,360,360,340,
,,30 kWh - Gen 2 HW Kit,HW Kit,TBD,,,,0,,,,13,50,100,150,200,250,300,350,388,425,450,450,425,
x,,,,,,,,,,,,,,,,,,,,,,,,,x
