cm,part,description,state,first_shortage_date,shortage_qty,opening,undated,products
Sienna,10-002146,"Part A, Epic Resins S7475",IN_PRODUCTION,2026-08-03,15284446.657926096,372300.850461,35.0,Maximizer Box
Sienna,10-004819,"EMI Gasket, 2.3mm x 2.3mm, D-Profile",IN_PRODUCTION,2026-08-03,2209213.2387340777,13141.5999756,0.0,9.6 KW Inverter
Sienna,10-001267,"Enclosure, Top, Maximizer",IN_PRODUCTION,2026-08-03,72782.03225806452,1987.0,0.0,Maximizer Box
Sienna,10-004116,"Enclosure, Bottom, Maximizer",IN_PRODUCTION,2026-08-03,72360.03225806452,2409.0,0.0,Maximizer Box
Qualitel,10-003754,UV Curable Polyurethane Conformal Coating,ON_ORDER_ONLY,2026-08-03,43416.12903225807,0.0,31550.0,"2.1 LFP Block, MSAC"
Qualitel,90-07675A,LFP Battery Block with Wall Bracket,IN_PRODUCTION,2026-08-03,21117.935483870966,24.0,0.0,2.0 LFP - EVT without cover
Sienna,10-005385,"Label, Packaging, Carton",IN_PRODUCTION,2026-08-03,18166.806451612905,121.0,0.0,"9.6 KW Inverter, Bridge, PV Hub, Rogowski Coil"
Qualitel,10-005080,"Breaker Hold-Down, Bridge",IN_PRODUCTION,2026-08-03,6206.451612903226,0.0,0.0,MSAC
Sienna,10-06826A,"Fluxgate current sensor, 4P Nano-fit",IN_PRODUCTION,2026-08-03,3831.3870967741937,125.0,0.0,9.6 KW Inverter
Qualitel,10-003248,RES 2K OHM 1% 1/10W 0402 AEC-Q,IN_PRODUCTION,2026-08-10,1927.5806451612902,320.0,0.0,"MSAC, Terminal PCBA (TRM)"
Sienna,90-07290A,20kWh LFP ESS Hardware Kit,IN_PRODUCTION,2026-08-10,2501.8709677419356,72.0,0.0,LFP HW Kit
Sienna,10-06834A,"Wire Harness, Inverter, Battery IF, Cap Board, with Ferrite",IN_PRODUCTION,2026-08-10,5217.387096774193,339.0,4598.0,9.6 KW Inverter
Sienna,10-004995,"Ground Sheet, Wiring Compartment, Inverter, D",IN_PRODUCTION,2026-08-10,5275.387096774193,281.0,4476.0,9.6 KW Inverter
Qualitel,10-06534A,"Chassis Base, MSA Controller",IN_PRODUCTION,2026-08-10,4047.4516129032263,89.0,3000.0,MSAC
Sienna,10-06644A,"Rogowski Coil, Magnelab",IN_PRODUCTION,2026-08-10,7472.806451612903,322.0,0.0,Rogowski Coil
Qualitel,10-006287,"Heat Shrink,2:1,25.4 mm ID Pre-Shrink,1 mm THK,UL224,Adhesive Lined",IN_PRODUCTION,2026-08-10,35021.56032258064,3389.73,0.0,Terminal PCBA (TRM)
Qualitel,10-006288,"Heat Shrink,2:1,38.1 mm ID Pre-Shrink,1 mm THK,UL224,Adhesive Lined",IN_PRODUCTION,2026-08-10,35023.367422580646,3387.9229,0.0,Terminal PCBA (TRM)
Sienna,10-005177,"Home Controller, Heat Spreader, Connector Side, D",IN_PRODUCTION,2026-08-10,5340.387096774193,216.0,4750.0,9.6 KW Inverter
Sienna,10-003772,"Clip, Wire Harness Pair, Maximizer",IN_PRODUCTION,2026-08-24,123389.06451612903,26149.0,0.0,Maximizer Box
Sienna,10-003603,"Label, MAC Address, Maximizer Hub",IN_PRODUCTION,2026-08-31,2684.6129032258063,839.0,4000.0,PV Hub
Sienna,10-07984A,"Wire Harness, Inverter Exterior, Blowers/Ambient T, D CMJ5",IN_PRODUCTION,2026-08-31,4718.387096774193,838.0,502.0,9.6 KW Inverter
Sienna,10-003929,"Wire Harness,Inverter,Blowers/Ambient T/LED/Motion",IN_PRODUCTION,2026-08-31,4716.387096774193,840.0,4280.0,9.6 KW Inverter
Sienna,10-004643,"Adhesive, Double-sided, Heat Sink, Maximizer",IN_PRODUCTION,2026-08-31,38384.06451612903,31154.0,0.0,Maximizer Box
Sienna,10-004443,"Screw, 1/4-28x3/8, Slot-Square 2R, Steel, Zinc-Plated",IN_PRODUCTION,2026-08-31,5023.548387096773,3602.0,0.0,9.6 KW Inverter
Sienna,10-006231,"Thermal Gap Filler, Curing, 6.5 W/mK, Two Part Dispensed",IN_PRODUCTION,2026-09-07,319480.0967741936,69367.0,100.0,9.6 KW Inverter
Sienna,10-004546,"Label, Serial Number, Inverter",IN_PRODUCTION,2026-09-07,4615.387096774193,941.0,0.0,9.6 KW Inverter
Sienna,10-006085,"Inverter Packaging, Foam, Top, Right, V2",IN_PRODUCTION,2026-09-07,4473.387096774193,1083.0,1250.0,9.6 KW Inverter
Sienna,10-002704,CAP FILM 20UF 10% 800VDC RADIAL,IN_PRODUCTION,2026-09-07,4071.935483870968,5440.0,79.0,9.6 KW Inverter
Sienna,10-06501D,"Asy, Busbar, Iph A",IN_PRODUCTION,2026-09-14,1915.3870967741937,1277.0,0.0,9.6 KW Inverter
Sienna,10-06502D,"Asy, Busbar, Iph B",IN_PRODUCTION,2026-09-14,1097.65376344086,1277.0,0.0,9.6 KW Inverter
Sienna,10-06734D,"Asy, Busbar, Iph BAL",IN_PRODUCTION,2026-09-14,1915.3870967741937,1277.0,0.0,9.6 KW Inverter
Sienna,10-006096,"Inverter Cover Packaging, Corrugated Insert, Right Panel",IN_PRODUCTION,2026-09-14,4378.387096774193,1178.0,1212.0,9.6 KW Inverter
Sienna,10-06902A,"Packaging, Rogowski Coils",IN_PRODUCTION,2026-09-14,3962.9032258064517,525.0,0.0,Rogowski Coil
Sienna,20-000544,"PCB, LED",ON_ORDER_ONLY,2026-09-14,4430.387096774193,1126.0,0.0,9.6 KW Inverter
Sienna,10-06703A,"Foam Gasket, GaN FETs, Maximizer",IN_PRODUCTION,2026-09-14,51126.54838709677,21707.0,90000.0,Maximizer Box
Sienna,10-001269,"Mounting Bracket, Maximizer",IN_PRODUCTION,2026-09-14,50282.032258064515,24487.0,21000.0,Maximizer Box
Sienna,10-005953,"Adhesive, Epoxy, 2-Part, Electrical Insulator, 13 kV/mm",IN_PRODUCTION,2026-09-14,4425.887112074193,1130.4999847,0.0,9.6 KW Inverter
Sienna,10-003758,"Tab, PCBA Grounding, Maximizer Released",IN_PRODUCTION,2026-09-14,13787.064516129023,42311.0,3205.0,Maximizer Box
Sienna,10-001160,RES SMD 470 OHM 1% 1/10W 0603 AEC-Q,IN_PRODUCTION,2026-09-21,115830.83870967742,39748.0,0.0,9.6 KW Inverter
Sienna,10-001651,THERMISTOR NTC 10KOHM 3380K 0603,IN_PRODUCTION,2026-09-21,68269.52258064516,60852.0,0.0,"9.6 KW Inverter, Bridge, Maximizer Box"
Sienna,10-005852,"Packaging, Bridge, Front Cap Pad",IN_PRODUCTION,2026-09-21,12551.709677419356,1608.0,3000.0,Bridge
Sienna,10-005762,"Inverter Packaging, Box",IN_PRODUCTION,2026-09-21,4256.387096774193,1300.0,1220.0,9.6 KW Inverter
