shipment_number,shipped_date,ship_to,packing_slip_number,po_number,po_line_number,customer_part_number,pallet_id,serial_number,quantity,lot_code,master_carton_id,source_file,source_file_id,source_file_version,_id,_db_created_at,_db_modified_at,source_file_timestamp
SFOHOUT 00052757,2026-08-07,,93248493,PO-US-08014,,90-06889C,202608041,P:90-06889CR:02S:SIE263103183,1,,P:90-06889CR:02S:SIE263103183,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128041,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
SFOHOUT 00052757,2026-08-07,,93248493,PO-US-08014,,90-06889C,202608041,P:90-06889CR:02S:SIE262907515,1,,P:90-06889CR:02S:SIE262907515,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128042,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
SFOHOUT 00052757,2026-08-07,,93248493,PO-US-08014,,90-06889C,202608041,P:90-06889CR:02S:SIE262907513,1,,P:90-06889CR:02S:SIE262907513,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128043,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
SFOHOUT 00052757,2026-08-07,,93248493,PO-US-08014,,90-06889C,202608041,P:90-06889CR:02S:SIE262907510,1,,P:90-06889CR:02S:SIE262907510,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128044,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
SFOHOUT 00052757,2026-08-07,,93248493,PO-US-08014,,90-06889C,202608041,P:90-06889CR:02S:SIE262907514,1,,P:90-06889CR:02S:SIE262907514,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128045,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
SFOHOUT 00052757,2026-08-07,,93248493,PO-US-08014,,90-06889C,202608041,P:90-06889CR:02S:SIE262907511,1,,P:90-06889CR:02S:SIE262907511,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128046,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
SFOHOUT 00052757,2026-08-07,,93248493,PO-US-08014,,90-06889C,202608072,P:90-06889CR:02S:SIE263103184,1,,P:90-06889CR:02S:SIE263103184,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128047,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
SFOHOUT 00052757,2026-08-07,,93248493,PO-US-08014,,90-06889C,202608072,P:90-06889CR:02S:SIE262907512,1,,P:90-06889CR:02S:SIE262907512,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128048,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
SFOHOUT 00052757,2026-08-07,,93248518,PO-US-09054,,90-06801A,202608071,P:90-06801AR:01S:SIE263102822,1,,P:90-06801AR:01S:SIE263102822,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128049,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
SFOHOUT 00052757,2026-08-07,,93248518,PO-US-09054,,90-06801A,202608071,P:90-06801AR:01S:SIE263102827,1,,P:90-06801AR:01S:SIE263102827,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2395775972786,1,128050,2026-08-08 01:16:23.433669,2026-08-08 01:16:23.299354,2026-08-08 01:16:17.000000 +00:00
