"serial_id","ship_date","shipment_number","ship_to_location","packing_slip_number","po_number","po_line_number","lunar_part_number","part_description","qty","ship_method","tracking_number","ima_item_id","source_file","source_file_timestamp","_db_created_at","_db_modified_at"
,2026-08-13 17:00:00,53429,Attn: Cynthia Li 755 Ravendale Drive,190443,PO-US-09394,3,10-000778,"Screw,M5x0.8 6g x10mm,BHT T-25,Flange,Steel,ZiNi BC,Nylon Patch",55,UPS Ground - COL (CUST),1Z562E8W0367412143,814L-10-000778@Rev2,ASN_20260815.csv,2026-08-14 18:00:12,2026-08-14 18:00:22,2026-08-14 18:00:22
P:10-06103CR:03S:QTL261703435,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703441,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703449,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703450,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703451,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703460,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703484,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703489,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703490,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703494,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703526,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703534,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703535,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703539,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703548,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
