Updated at,item_number,item_name,revision,procurement_type,unit_of_measure,category_name,lifecycle_phase,vendor,Product Alias,Parent Product LPN,Parent Product Name,CM,Product Usage per ESS,Flat Qty,Sourcing Flat Qty
08-04-2026,10-06950A,"Cell Array Assy, LFP DC ESS, 51.2V, 100Ah Std Temp Cell, 20% SOC, 220W heater",5,MTS,Each,Assembly,In Production,A//ACE Battery,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,1,1
08-04-2026,10-06950A,"Cell Array Assy, LFP DC ESS, 51.2V, 100Ah Std Temp Cell, 20% SOC, 220W heater",5,MTS,Each,Assembly,In Production,A//ACE Battery,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,1,0
08-04-2026,10-08140A,Nut M5 × 0.8 Brass Overmolded Square,1,OTS,Each,Part,In Planning,A//ACE Battery,2.1 LFP Block,90-08373A,"Battery Block with Wall Bracket, LFP, L2.1",Qualitel,4,2,0
08-04-2026,10-08374A,"Packaging Kit, LFP L2.1 Battery Block and Wall Bracket",1,OTS,Each,Part,In Planning,,2.1 LFP Block,90-08373A,"Battery Block with Wall Bracket, LFP, L2.1",Qualitel,4,1,1
08-04-2026,10-07851A,"HOOK, LEFT, INVERTER, HE",2,MTS,Each,Part,In Planning,GS//TBD,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,1,1
08-04-2026,10-07719A,"HE Inverter Enclosure, Top Mount Door Hinge Base, Lunar 3",1,MTS,Each,Part,In Planning,GS//TBD,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,2,2
08-04-2026,10-007019,DIODE TVS BIDIRECTIONAL 53.3V CLAMPING 33VWM SMA,1,OTS,Each,Electrical Components,In Production,,Link,30-07519A,Lunar Link PCBA,Sienna,1,2,2
08-04-2026,30-07555C,Lunar 2.1 DCDC-BMS PCBA,2,MTS,Each,PCBA,In Planning,,2.1 LFP Block,90-08373A,"Battery Block with Wall Bracket, LFP, L2.1",Qualitel,4,1,0
08-04-2026,10-07682A,"Thermal gap filler, Non-Curing, 6.2 W/mK, Dispensed, Single Part",1,OTS,Milliliter,Part,In Production,GS//TBD,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,2,2
08-04-2026,10-07682A,"Thermal gap filler, Non-Curing, 6.2 W/mK, Dispensed, Single Part",1,OTS,Milliliter,Part,In Production,GS//TBD,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,2,0
