product_lpn,period_start,qty
90-07675A,2026-08-01,4000
90-07675A,2026-09-01,4400
90-07675A,2026-10-01,5000
90-07675A,2026-11-01,5000
90-07675A,2026-12-01,3000
90-08373A,2026-12-01,900
90-08373A,2027-01-01,4500
90-08373A,2027-02-01,4600
90-08373A,2027-03-01,5000
90-08373A,2027-04-01,5150
90-08373A,2027-05-01,5350
90-08373A,2027-06-01,5500
90-08373A,2027-07-01,6000
90-08373A,2027-08-01,6500
90-08373A,2027-09-01,6500
90-08373A,2027-10-01,7000
90-08373A,2027-11-01,7500
90-08373A,2027-12-01,7500
90-06700A,2026-08-01,300
90-06700A,2026-09-01,400
90-06700A,2026-10-01,500
90-06700A,2026-11-01,500
90-06700A,2026-12-01,500
90-06700A,2027-01-01,500
90-06700A,2027-02-01,500
90-06700A,2027-03-01,500
90-06700A,2027-04-01,600
90-06700A,2027-05-01,600
90-06700A,2027-06-01,600
90-06700A,2027-07-01,700
90-06700A,2027-08-01,800
90-06700A,2027-09-01,800
90-06700A,2027-10-01,900
90-06700A,2027-11-01,900
90-06700A,2027-12-01,900
10-06103C,2026-08-01,450
10-06103C,2026-09-01,425
10-06103C,2026-10-01,300
10-06103C,2026-11-01,300
10-06103C,2026-12-01,300
10-06105C,2026-08-01,400
10-06105C,2026-09-01,391
10-06105C,2026-10-01,300
10-06105C,2026-11-01,300
10-06105C,2026-12-01,300
90-06801A,2026-08-01,293
90-06801A,2026-09-01,330
90-06801A,2026-10-01,330
90-06801A,2026-11-01,330
90-06801A,2026-12-01,330
90-06801A,2027-01-01,300
90-06801A,2027-02-01,300
90-06801A,2027-03-01,300
90-06801A,2027-04-01,400
90-06801A,2027-05-01,500
90-06801A,2027-06-01,600
90-06801A,2027-07-01,700
90-06801A,2027-08-01,800
90-06801A,2027-09-01,800
90-06801A,2027-10-01,900
90-06801A,2027-11-01,900
90-06801A,2027-12-01,900
90-07290A,2026-08-01,250
90-07290A,2026-09-01,100
90-07290A,2026-10-01,100
90-07290A,2026-11-01,650
90-07290A,2026-12-01,665
90-07290A,2027-01-01,275
90-07290A,2027-02-01,275
90-07290A,2027-03-01,275
90-06889C,2026-08-01,800
90-06889C,2026-09-01,800
90-06889C,2026-10-01,800
90-06889C,2026-11-01,788
90-06889C,2026-12-01,770
90-06889C,2027-01-01,550
90-06889C,2027-02-01,550
90-06889C,2027-03-01,550
90-06831D,2026-08-01,768
90-06831D,2026-09-01,760
90-06831D,2026-10-01,760
90-06831D,2026-11-01,750
90-06831D,2026-12-01,750
90-004034,2026-08-01,750
90-004034,2026-09-01,750
90-004034,2026-10-01,750
90-004034,2026-11-01,700
90-004034,2026-12-01,622
90-06789A,2026-08-01,375
90-06789A,2026-09-01,375
90-06789A,2026-10-01,375
90-06789A,2026-11-01,375
90-06789A,2026-12-01,375
90-06789A,2027-01-01,375
90-06789A,2027-02-01,375
90-06789A,2027-03-01,375
90-06789A,2027-04-01,375
90-06789A,2027-05-01,375
90-06789A,2027-06-01,375
90-06789A,2027-07-01,375
90-06789A,2027-08-01,375
90-06789A,2027-09-01,375
90-06789A,2027-10-01,375
90-06789A,2027-11-01,375
90-06789A,2027-12-01,375
