LPN,Description,GSM,Supplier,Arena UoM,Order Category,MOQ (#ESS)/EAU,Quoted EAU,MULT (Reel Size), Unit Price (@MOQ/EAU) ,MPN,MFG,Quote Date
10-000395,"Washer,M5,Flat,5.3mm IDx 12.6mm OD,Steel",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.028 ,,,2026/02/19
10-000778,"PN-SW8071Screw,M5x0.8 6g x10mm,BHT",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.045 ,,,2026/03/30
10-000903,"Plug,Conduit,Sealing,Stepped, 3/4""",[MRO Part],Open market,Each,ME Non critical,-,-,-, $ 0.480 ,,,Sienna Managed
10-001246,"Tray,Blower,Inverter",Hazel Gomes,Fictiv,Each,ME critical,,-,-, $ 6.010 ,,,2025/09/15
10-001267,"Enclosure, Top, Maximizer",Hazel Gomes,Fictiv,Each,ME critical,,-,-, $ 1.560 ,,,2025/09/15
10-001269,"Mounting Bracket, Maximizer",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 1.240 ,,,2026/02/20
10-001271,"MC4 Pigtail, Male, 200mm",Tejas Dixit,Avalon,Each,ME critical,7000,-,-, $ 1.230 ,,,2026/01/30
10-001272,"MC4 Pigtail, Female, 200mm",Tejas Dixit,Avalon,Each,ME critical,7000,-,-, $ 1.260 ,,,2026/01/30
10-001480,"Screw,6-19xPLAST 48/2, 0.5"",BHT T-15,T/F,Steel,ZnNi BC",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.015 ,,,2025/09/03
10-001515,"Grommet,Vibration Damping,4mm Shldr,Shor",[MRO Part],Open market,Each,ME Non critical,-,-,-, $ 0.450 ,,,Sienna Managed
10-001527,"MC4 Pigtail, Male, 1250mm",Tejas Dixit,Avalon,Each,ME critical,7000,-,-, $ 1.940 ,,,2026/01/30
10-001528,"MC4 Pigtail, Female, 1250mm",Tejas Dixit,Avalon,Each,ME critical,7000,-,-, $ 1.970 ,,,2026/01/30
10-001820,"Gantry,Power Transistor,material: A38",Hazel Gomes,First Part China Limited,Each,ME Non critical,5000,-,-, $ 9.100 ,,,First Part
10-001821,"Plastic Pressure Pin, Power Transistor",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 0.250 ,,,
10-002026,"Hotmelt,Polyamid,V0,0.2-0.3 W/m-K",[MRO Part],LPMS USA LLC,Gram,ME Non critical,,-,-, $ 0.040 ,,,Sienna Managed
10-002027,"Thread Forming Screw, M2.5 X 5mm, Torx",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.005 ,,,2025/09/03
10-002035,"Sticker, Vent, 12mm Round",Hazel Gomes,Marian Inc,Each,ME Non critical,10000,-,-, $ 0.180 ,,,2025/08/07
10-002080,"Wire Harness,Inverter,Antenna (900Mhz/BT",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 25.540 ,,,-
10-002109,"Screw,M5 x 0.8 6g x 8mm,BHT T-25,Steel,ZnNi BC,Nylon Patch",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.060 ,,,2025/09/03
10-002110,"PN SW8106Screw,M2.5x0.45 6g x8mm,BHT T8",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.032 ,,,2026/02/19
10-002113,"PN SW8108M5x0.8 6g x8mm,Under-Head Seal",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.129 ,,,2026/02/19
10-002115,"SW8107,Screw,K30 x 1.34PF x10mm,T/F,BHT",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.024 ,,,2026/02/19
10-002116,"Screw,M4x0.7 6g x36mm,BHT T20,Flange,Ste",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.087 ,,,2026/02/19
10-002119,"Screw,#10-14 PLAST48-2x0.625in,T/F,BHT T25,Flange,Steel,ZiNi BC,Nylon Patch",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.035 ,,,2025/09/03
10-002120,"SW8121Screw,8-32 UNRC-3Ax0.625in,BHT T",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.078 ,,,2026/02/19
10-002121,"SW8113,Screw,Shldr,M3x0.5 6g x4.5mm,4.09",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.140 ,,,2026/02/19
10-002124,"Standoff,M4,M/F,6mm M,10mm F,20mm Shldr,",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.170 ,,,2026/02/19
10-002134,"PN SW8091M4x0.7 6gx10mm,BHT T15,Steel,Z",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.040 ,,,2026/02/19
10-002146,Epic Resins Potting 10-002146 (S7475A-5P,[MRO Part],EPIC RESINS,Gram,ME Non critical,-,-,-, $ 0.010 ,,,2025/07/29
10-002147,Epic Resins Potting 10-002147 (S7475B-5P,[MRO Part],EPIC RESINS,Gram,ME Non critical,-,-,-, $ 0.008 ,,,2025/07/29
10-002173,"Assy Enclosure, Weldment, Bridge, Charco",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 87.170 ,,,2025/10/01
10-002190,"Insulator Cap Neutral, Bridge",Hazel Gomes,Fictiv,Each,ME critical,,-,-, $ 0.500 ,,,2025/09/15
10-002195,"Relay Assembly, Bridge",Alec DeMarco,KG Technologies,Each,ME critical,10000,-,-, $ 24.320 ,,,KG Technologies (Hongfa)
10-002203,"Bus Bar, NBU, L1, Bridge (Insul Coat)",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 11.730 ,,,
