,cm,part,description,item_category,cm_on_hand,cm_on_order,cm_unit_price,cm_price_source,lunar_on_hand_alloc,lunar_on_order_alloc,lunar_unit_price,obsolescence_state,projection_type,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07
0,Lunar,10-006820,0,0,0,0,0,,0,2700,1.7757475407407408,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Sienna,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,Electrical Components,5555,2037,1.5653797468354427,CM On-Hand,3785,0,0.7627890749918286,Active in Both,CM Depletion,9503,6849,7533,4956,2739,789,0,0,0,0,0,0,0
2,Celestica,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,Electrical Components,0,0,1.5653797468354427,CM On-Hand,0,0,0.7627890749918286,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lunar,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,Electrical Components,0,0,1.5653797468354427,CM On-Hand,287573,0,0.7627890749918286,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Qualitel,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,Electrical Components,29205,75000,1.5653797468354427,CM On-Hand,48239,0,0.7627890749918286,Active in Both,CM Depletion,40047,31979,27270,9964,186,0,34064,34064,34064,34064,34064,34064,34064
5,Sienna,10-002485,IC BUF NON-INVERT 5.5V SOT23-5,Electrical Components,3029,3000,0.07100066028392209,CM On-Hand,3577,0,0.2584,Gen 1 Only,CM Depletion,96,107,85,98,83,39,0,0,0,0,0,0,0
6,Lunar,10-002485,IC BUF NON-INVERT 5.5V SOT23-5,Electrical Components,0,0,0.07100066028392209,CM On-Hand,151707,0,0.2584,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Sienna,10-000678,RES SMD 150 OHM 1% 1/3W 0603 AEC-Q,Electrical Components,24920,0,0.010886920560459232,CM On-Hand,0,0,0.012299999999999998,Gen 1 Only,CM Depletion,261,240,219,199,181,170,160,152,147,142,135,128,121
8,Qualitel,10-000678,RES SMD 150 OHM 1% 1/3W 0603 AEC-Q,Electrical Components,7482,0,0.010886920560459232,CM On-Hand,0,0,0.012299999999999998,Gen 1 Only,CM Depletion,83,78,74,71,68,68,68,68,68,68,68,68,68
9,Lunar,10-000678,RES SMD 150 OHM 1% 1/3W 0603 AEC-Q,Electrical Components,0,0,0.010886920560459232,CM On-Hand,189000,10000,0.012299999999999998,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Qualitel,10-06647B,"PCBA DCDC/BMS, with Conformal Coating",Part,2,0,194.03245,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Lunar,10-06647B,"PCBA DCDC/BMS, with Conformal Coating",Part,0,0,194.03245,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sienna,10-000565,CAP CER 3.3PF 50V C0G/NPO 0402 AEC-Q,Electrical Components,60582,451,0.004657695811750007,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Qualitel,10-000565,CAP CER 3.3PF 50V C0G/NPO 0402 AEC-Q,Electrical Components,16252,0,0.004657695811750007,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Lunar,10-000565,CAP CER 3.3PF 50V C0G/NPO 0402 AEC-Q,Electrical Components,0,0,0.004657695811750007,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Sienna,10-06110A,"Screw, Button, 12-24x0.55, T25, Steel with Zinc Coating",Part,8940,7000,0.09,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,843,809,690,1201,1083,964,856,748,640,496,316,100,0
16,Lunar,10-06110A,"Screw, Button, 12-24x0.55, T25, Steel with Zinc Coating",Part,0,0,0.09,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Lunar,10-006898,"IND 10UH 21A 3.88 MOHM SMD (0.886"" L x 0.866"" W (22.50mm x 22.00mm))",Electrical Components,0,0,0,,850,300,3.11,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Lunar,10-000996,RES 27K OHM 1% 1/16W 0402,Electrical Components,0,0,0,,1388,1392,0.0032,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Sienna,10-004719,"Wire Harness, Power, DC Contactors",Part,1819,2715,10.488,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,20137,22969,17725,9334,1070,0,0,0,0,0,0,0,0
20,Lunar,10-004719,"Wire Harness, Power, DC Contactors",Part,0,0,10.488,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Sienna,10-07296A,"Label, 2x5, 10kWh, Blue Primary / Lighter",Part,995,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Lunar,10-07296A,"Label, 2x5, 10kWh, Blue Primary / Lighter",Part,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lunar,10-006729,"TRANSFORMER POWER -40°C to +125°C PTH 14 PIN 32.25MM X 27.05MM X 22,86MM",Electrical Components,0,0,0,,784,0,6.35,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lunar,10-006989,0,0,0,0,0,,0,1350,0.048,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Sienna,10-004639,"Heat Sink, Maximizer",Assembly,35902,79200,1.0246292685644254,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,39580,50605,76016,60442,65565,50196,50196,50196,50196,50196,50196,50196,50196
26,Lunar,10-004639,"Heat Sink, Maximizer",Assembly,0,0,1.0246292685644254,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Lunar,10-006859,RES SMD 32.4K OHM 1% 1/16W 0402,Electrical Components,0,0,0,,26350,0,0.002,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Lunar,10-007008,0,0,0,0,0,,0,1000,0.115,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Sienna,10-000851,Current Sense Amplifier 1 Circuit Rail-to-Rail SC-70-6 AEC-Q,Electrical Components,6882,0,0.856956678700361,CM On-Hand,0,0,0.7871666666666667,Gen 1 Only,CM Depletion,6049,5323,4637,3932,3325,2791,2298,1886,1826,1826,1826,1826,1826
30,Qualitel,10-000851,Current Sense Amplifier 1 Circuit Rail-to-Rail SC-70-6 AEC-Q,Electrical Components,4752,0,0.856956678700361,CM On-Hand,0,0,0.7871666666666667,Gen 1 Only,CM Depletion,4185,3792,3525,3257,3022,2988,2988,2988,2988,2988,2988,2988,2988
