Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-18-2026,CM: Celestica MX,10-0000423MS,10-000042,"Lithium Ion Cell,S004a,Trimmed",Part,MTS,Monterrey Prod,1000,FALSE,Celestica,4551,0,0,0,0,0,Unrestricted,4551
08-18-2026,Lunar Netsuite,10-000054,10-000054,"Aux Bracket, Wall Bracket, Battery Block",Part,MTS,JIT - Reno,NS,FALSE,Lunar Energy,2850,0,0.53,1510.5,0,0,Unrestricted,2850
08-18-2026,CM: Celestica MX,10-0000623MS,10-000062,"Cover, Battery Block",Part,MTS,Monterrey Prod,1000,FALSE,Celestica,-2,0,4.13,-8.26,0,0,Unrestricted,-2
08-18-2026,CM: Celestica MX,10-0000993MS,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,Monterrey Prod,1000,FALSE,Celestica,-14,0,0.0313,-0.4382,0,0,Unrestricted,-14
08-18-2026,CM: Sienna GA,10-000099 REV-02,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,261573,0,0.017,4446.741,0,2,Unrestricted,261573
08-18-2026,Lunar Netsuite,10-000099,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,Avnet,NS,FALSE,Lunar Energy,744000,0,0.0256,19046.4,0,0,Unrestricted,7115
08-18-2026,CM: Sienna GA,10-000099 REV-02,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,404000,0,0.017,6868,0,2,Unrestricted,404000
08-18-2026,CM: Qualitel WA,814L-10-000099,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,62650,0,0.017,1065.05,0,0,Unrestricted,62650
08-18-2026,CM: Sienna GA,10-000099 REV-02,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,283239,0,0.017,4815.063,0,2,Unrestricted,283239
08-18-2026,Lunar Netsuite,10-000099,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,295115,0,0.02,5902.3,0,0,Unrestricted,84000
