,,Updated Week,08/03/2026,,,,,On-hand,,,,,,
,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,
,,Product,Bridge,,,,,,,,,,,
,,LPN,90-06801A,,,,,,,,,,,
,,Description,"Bridge, Type B, Boxed, Lunar Blue",,,,,,,,,,,
,,,,,,,,,,,,,,
,,Shipped to Date,5456,,Total quantity shipped to date against Lunar production PO,,,,,,,,,
,,Inventory On Hand,2,Shipped a total of 387 units in July 2026,90- inventory transacted in SAP that has not shipped (i.e. FG inventory at Sienna),,,,,,,,,
,,[W+4] Build Plan,400,,,,,,,,,,,
,,Week of 08/03,100,,,,,,,,,12.37142857,,
,,Week of 08/10,100,,,,,,,,,,,
,,Week of 08/17,100,,,,,,,,,,,
,,Week of 08/24,100,,,,,,,,,,,
,,,,,,,,,,,,,,
,Sienna P/N,PN,Description,Supplier,On Hand Inventory,Sienna ESS usage,Coverage,Projected Runout Date,Next Supply Quantity,Next Supply Date,Risk Category,Next Supply Tracking #,Additional reference,Notes
,1363-001-3025-02,10-002244,"Busbar, Neutral, bridge",Avalon,107,1,107,8/10/2026,"468
  517
 180
  1332
  1350","7/22/2026
  8/3/2026
 8/3/2026
  08/30/2026
  09/30/2026",,"Tracking number : 99 8426 9783 (DHL) - 468 pcs, waiting for GR.
  Tracking number : 382824123078 (FedEx) - 517 pcs
 Tracking number : 56 1739 0656 (DHL) - 180 pcs",,
,1363-001-3084-00,10-002203,"Bus Bar, NBU, L1, Bridge (Insul Coat)",Avalon,401,1,401,8/31/2026,"195 
 240
  850","8/3/2026
 8/3/2026
  09/30/2026",,"Tracking number : 382824123078 (FedEx) - 195 pcs
 Tracking number : 56 1739 0656 (DHL) - 240 pcs",,
,1363-003-3069-03,10-002209,"Insulation Tray, Core Module, Bridge",Fictiv,485,1,485,8/31/2026,,,,"Accounted for 30% fallouts and reduced the inventory
  Ocean shipment: week of 06/10, Ref# HLCUSHA2604BWKK7
  Held back 1400 pcs at supplier end
  Update as of 05/13: 646 pcs are getting AIR shipped from Fictiv
  Update as of 05/19: Fictiv is not AIR shipping the 646 pcs by AIR and seeing more rejects at LINE
  Update as of 06/16: Still waiting on the AIR shipment of 300 pcs from Fictiv; Fictiv still hasn't shared the packiong slip and cargo readiness for another 350 pcs to be moved via Ocean","Fictiv will be shipping 400 pcs on 08/08 via ocean
 200 pcs to be shipped by AIR on 08/22 and another 1218 pcs via Ocean",
,1363-062-3068-00,10-005852,"Packaging, Bridge, Front Cap Pad",STEPHEN GOULD,"1,608",3,536,9/7/2026,,,,revised PO has been shared with Stephen Gould and waiting for firm ship dates,New pricing to be approved no later than 07.08 by Lunar team.,
,1363-008-3022-03,10-003550,"ASSY, INNER COVER, BRIDGE, CHARCOAL SUED",Avalon,577,1,577,9/7/2026,240,8/15/2026,,"Ocean shipment: week of 08/15, Ref# HAMU2928615",,
,1363-001-3024-02,10-002232,"Bus Bar, Ground, Bridge",Avalon,593,1,593,9/7/2026,"261
 180
  1240
  850","8/3/2026
 8/3/2026
  08/30/2026
  09/30/2026",,"Tracking number : 382824123078 (FedEx) - 261 pcs
 Tracking number : 56 1739 0656 (DHL) - 180 pcs",,
,1363-062-3081-00,10-006267,"Padded Bag, Accessories, Bridge",Uline,603,1,603,9/14/2026,1000,8/15/2026,,Domestic shipment,,
,1363-001-3037-01,10-002579,"Offset Mounting Bracket, Wall, Bridge",Avalon,627,1,627,9/14/2026,240,08/15/2026,,"Ocean shipment: week of 08/15, Ref# HAMU2928615",,
,1363-001-3086-00,10-002205,"Bus Bar, BU, L2, Bridge (Insul Coat)",Avalon,634,1,634,9/14/2026,564,8/3/2026,,Tracking number : 61 0230 3281 (DHL),,
,1363-001-3088-00,10-002207,"Bus Bar, Load Tray, Left, Bridge (Insul",Avalon,637,1,637,9/14/2026,408,08/03/2026,,Tracking number : 61 0230 3281 (DHL),,
,1363-008-3023-07,10-003551,"ASSY, ENCLOSURE DOOR, BRIDGE, LUNAR Blue",Avalon,664,1,664,9/14/2026,240,08/15/2026,,"Ocean shipment: week of 08/15, Ref# HAMU2928615",,
,1363-008-3005-06,10-002173,"Assy Enclosure, Weldment, Bridge, Charco",Avalon,733,1,733,9/21/2026,208,08/15/2026,,"Ocean shipment: week of 08/15, Ref# HAMU2928615",,
,1363-001-3026-00,10-002230,"Neutral/Ground Bar, GIP",GORDON ELECTRIC SUPPLY,"4,956",6,826,9/28/2026,"3500
  3500
 5500","8/6/2026
  9/28/2026
 10/05/2026",,Qty# 3500 shipped - THE CUSTOM COMPANIES- 70041792 - ETA 7/10 (waiting for GR),,
,1363-062-3070-00,10-005857,"Packaging, Bridge, Back Cap Pad",STEPHEN GOULD,"2,479",3,826,9/28/2026,,,,revised PO has been shared with Stephen Gould and waiting for firm ship dates,,
,1363-060-3085-00,10-003464,Hex head Set screw W/Cup point,Lunar Energy,"1,687",2,844,9/28/2026,,,,Domestic shipment,,
,1363-062-3071-00,10-005855,"Packaging, Bridge, Back Cap Wrap",STEPHEN GOULD,887,1,887,9/28/2026,,,,revised PO has been shared with Stephen Gould and waiting for firm ship dates,,
,1363-063-3040-00,10-06825A,"Label, Caution, 19.05mm Tall Triangle, U",Mysafetylabels,923,1,923,10/5/2026,250,7/20/2026,,Domestic shipment : will be ready on the week of 07/06 .,,
,1363-001-3087-00,10-002206,"Bus Bar, BU, L1, Bridge (Insul Coat)",Avalon,943,1,943,10/5/2026,"350
  850","7/22/2026
  09/30/2026",,Tracking number : 382434353065 (FedEx) - 350 pcs,,
,1363-063-3036-00,10-006099,"Label, Laminated Polyester UL969",Mysafetylabels,953,1,953,10/5/2026,,,,No more open order,,
,1363-062-3073-00,10-005859,"Packaging, Bridge, Top Cover Support",STEPHEN GOULD,991,1,991,10/5/2026,,,,revised PO has been shared with Stephen Gould and waiting for firm ship dates,,
,1363-065-3019-02,10-002248,"Wire Harness, Voltage Sense, Bridge",Avalon,"1,023",1,1023,10/12/2026,,,,In production. Waiting for ship date.,,
,1363-065-3178-00,10-006362,"Wire Harness, Rogowski Coil Jumper, Brid",Avalon,"1,052",1,1052,10/12/2026,,,,Will ship towards - first week of August,,
,1363-062-3074-00,10-005860,"Packaging, Bridge, Top Cover Support Pad",STEPHEN GOULD,"1,074",1,1074,10/12/2026,,,,revised PO has been shared with Stephen Gould and waiting for firm ship dates,,
,1363-064-3016-00,10-002245,"LoadTray,20Space,40Ckt,225A(DEV-000062)",Eaton,"1,078",1,1078,10/12/2026,"1050
  450
  350","10/12/2026
  11/12/2026
  1/12/2026",,"Domestic shipment : will be ready on the week of 10/05; Yet to move.
  Domestic shipment : will be ready on the week of 11/05; Yet to move
  Domestic shipment : will be ready on the week of 01/05; Yet to move",,
,1363-001-3089-00,10-002754,"Bus Bar, Load Tray, Right, Bridge (Insu",Avalon,"1,092",1,1092,10/12/2026,"550
  494","7/22/2026
  09/30/2026",,Tracking number : 382434353065 (FedEx) - 550 pcs,,
,1363-001-3085-00,10-002204,"Bus Bar, NBU, L2, Bridge (Insul Coat)",Avalon,"1,121",1,1121,10/19/2026,"542
  850.","8/3/2026
  09/30/2026",,Tracking number : 382824123078 (FedEx) - 542 pcs,,
,1363-013-3026-00,10-002208,"Wire Terminal Lug, 250MCM, Aluminum, Tin",GORDON ELECTRIC SUPPLY,"12,383",10,1238,10/26/2026,"6250
  4000
 7250","10/05/2026
  10/05/2026
 11/05/2026",,"Domestic shipment will be ready on the week of 09/28, yet to move
 Domestic shipment will be ready on the week of 09/28, yet to move
 Domestic shipment will be ready on the week of 10/28, yet to move",,
,1363-062-3076-00,10-005858,"Packaging, Bridge, Top Cover Frame",STEPHEN GOULD,"1,277",1,1277,10/26/2026,,,,revised PO has been shared with Stephen Gould and waiting for firm ship dates,,
,1363-065-3021-02,10-002322,"WIRE HARNESS, G/N BOND, Bridge",Avalon,"1,323",1,1323,11/2/2026,,,,,,
,1363-062-3069-00,10-005856,"Packaging, Bridge, Back Cap Frame",STEPHEN GOULD,"6,645",5,1329,11/2/2026,,,,revised PO has been shared with Stephen Gould and waiting for firm ship dates,,
,1363-062-3077-01,10-005851,Bridge- RSC Shipping Box,STEPHEN GOULD,"1,330",1,1330,11/2/2026,,,,revised PO has been shared with Stephen Gould and waiting for firm ship dates,,
,1363-062-3075-00,10-005861,"Packaging, Bridge, Top Pad",STEPHEN GOULD,"1,360",1,1360,11/2/2026,,,,New pricing to be approved no later than 07.08 by Lunar team.,,
,1363-003-3016-00,10-002548,CONNECTOR LOCK PLATE 3 POS,Heilind,"1,382",1,1382,11/2/2026,"1000
  1000
  250
  250","10/12/2026
  11/12/2026
  01/12/2027
  02/12/2027",,"Domestic shipment : will be ready on the week of 10/05; Yet to move.
  Domestic shipment : will be ready on the week of 11/05; Yet to move.
  
  Domestic shipment : will be ready on the week of 01/05; Yet to move
  Domestic shipment : will be ready on the week of 02/05; Yet to move",,
,1363-062-3072-00,10-005854,"Packaging, Bridge, Front Cap Wrap",STEPHEN GOULD,"1,384",1,1384,11/2/2026,,,,New pricing to be approved no later than 07.08 by Lunar team.,,
,1363-065-3028-02,10-005481,"Wire Harness, Earth Ground Sense, Bridge",Avalon,"1,391",1,1391,11/2/2026,,,,In production. Waiting for ship date.,,
,1363-001-3017-04,10-002225,"Bracket Assembly, PCBA, Bridge",JPOND,"1,403",1,1403,11/9/2026,"1152
  400
  350","08/19/2026
  12/17/2026
  01/18/2027",,"Ocean shipment: week of 08/19, Ref# MEDUYE045941
  Ocean shipment: will be ready on the week of 11/05; Yet to move.
  Ocean shipment: will be ready on the week of 12/05; Yet to move.",,
,1363-062-3067-00,10-005853,"Packaging, Bridge, Front Cap Frame",STEPHEN GOULD,"7,718",5,1544,11/16/2026,,,,revised PO has been shared with Stephen Gould and waiting for firm ship dates,,
,1363-001-3052-00,10-06108A,"Closing Plate, Top Service Entry, Bridge",Avalon,"1,757",1,1757,11/23/2026,650,7/15/2026,,"Tracking number : 381951925290 (FedEx) - 650 pcs, waiting for GR.",,
,1363-001-3064-02,10-002231,"Mount, Neutral/Ground Bar, Bridge",Axtonne,"11,123",6,1854,12/14/2026,800,5/8/2026,,Air shipment Week of 7/29,,
,1363-001-3071-02,10-004072,"Bus Bar, Ground to Enclosure, Bridge",JPOND,"1,926",1,1926,12/28/2026,"1300
  600","08/19/2026
  12/17/2026",,"Ocean shipment: week of 08/19, Ref# MEDUYE045941
  Ocean shipment: will be ready on the week of 11/05; Yet to move.",,
,1363-003-3071-02,10-002219,"Standoff, Load Tray, Top, Bridge",Fictiv,"2,376",1,2376,1/5/2027,1500,10/10/2026,,Ocean shipment: will be ready on the week of 08/26; Yet to move.,,
,1363-060-3070-00,10-002235,"PENCOM SW8247 Bolt, M5 x 14, T25 D",Pencom,"43,358",18,2409,1/5/2027,"16,797",11/16/2026,,Hardware items; Getting pulled by AIR,,
