part,description,source,source_report,rows,extended_value
10-003933,"Lithium Ion Cell,E41,Untrimmed",onorder,Lunar Netsuite,8,5084357.7312
10-00522D,"Maximizer, Potted Assembly, Type D",onorder,Lunar Netsuite,1,919666.2
90-07679A,LFP Battery Cover,onhand,Lunar Netsuite,5,875673.5936
10-001238,IC GATE DRVR HALF-BRIDGE 12WLCSP,onhand,Lunar Netsuite,1,674024.1
10-07938A,"Thermal Shim Assy, Lunar 3 Inverter",onorder,Lunar Netsuite,1,616000.0
10-07285B,"Heat Spreader Assy, HE Inverter",onhand,Lunar Netsuite,1,566100.0
90-06533A,"Battery With Cover and Brackets, Boxed, Lunar Blue,HU",onhand,Lunar Netsuite,4,480398.10000000003
90-002878,"Maximizer, Boxed, Box of 20",onhand,Lunar Netsuite,5,305534.22
10-001637,CAP CER 4.7UF 100V X7R 2220,onhand,Lunar Netsuite,2,247092.0
90-003540,"Inverter with Cover and Brackets, Boxed, Lunar Blue",onorder,Lunar Netsuite,1,233536.75
10-004191,"Thermal gap filler, Non-Curing, 6.2 W/mK, Dispensed, Single Part",onorder,CM: Qualitel WA,13,185341.7973
10-001403,CONN TERM PIN SOLDER 3.6MM,onhand,Lunar Netsuite,3,166894.0
10-001671,HIGH POWER SWITCHING AC LATCHING,onhand,Lunar Netsuite,1,151680.0
10-002701,CAP CER 270PF 3KV C0G/NP0 2225,onhand,Lunar Netsuite,1,147744.0978
10-002941,DC DC CONVERTER 12V 3W,onhand,Lunar Netsuite,2,133159.5
90-002878,"Maximizer, Boxed, Box of 20",onorder,Lunar Netsuite,1,106049.52
90-07042A,"MSA, ConnectDER, Boxed",onhand,Lunar Netsuite,3,103687.384
10-004339,TVS DIODE 12.8VWM 27.2VC SMB AEC-Q,onhand,Lunar Netsuite,1,90500.04
10-00522D,"Maximizer, Potted Assembly, Type D",onhand,Lunar Netsuite,4,85254.2794
10-002292,IC GATE DRVR HIGH-SIDE 8SOIC,onhand,Lunar Netsuite,2,81115.6776
10-002275,"DC-DC ISOLATED 3K, 1 W, 22.8~25.",onhand,Lunar Netsuite,1,79650.0
10-06529A,"Submodule,HU",onhand,CM: Celestica MX,1,77362.28
10-002272,"DC-DC ISOLATED 1.5KV, 1 W, 21.6~",onhand,Lunar Netsuite,2,72579.725
90-06823A,"15kWh Hardware Kit, Lunar Blue",onorder,Lunar Netsuite,1,70962.0
10-001208,IC BAT LIFEPO4/LI-ION 3-16C TQFP,onhand,Lunar Netsuite,1,61922.5
10-005221,"DCDC SUBASSEMBLY, BATTERY BLOCK",onhand,Lunar Netsuite,2,61555.56
10-004067,CAP FILM 50UF 5% 500VDC RADIAL,onhand,Lunar Netsuite,2,59786.387
10-002080,"Wire Harness,Inverter,Antenna (900Mhz/BT/WiFi/LTE)",onhand,Lunar Netsuite,1,52995.5
90-002802,"Battery With Cover and Brackets, Boxed, Lunar Blue",onhand,Lunar Netsuite,4,46009.81
10-002513,"Fuse,Class T,200 A",onhand,Lunar Netsuite,1,44865.0
10-001810,Safety Capacitors 300Vol 0.0022uF 10% LS=7.5mm AECQ2,onhand,Lunar Netsuite,1,44400.0
10-002001,CAP CER 0.47UF 500V X7R 1812,onhand,Lunar Netsuite,1,44250.25
10-002698,DIODE ZENER 5.1V 1W PMDTM AEC-Q,onhand,Lunar Netsuite,3,41513.1672
10-001812,Safety Capacitors 1.00UF 330V,onhand,Lunar Netsuite,1,40458.0
10-005221,"DCDC SUBASSEMBLY, BATTERY BLOCK",onhand,CM: Celestica MX,1,40437.64
10-07539C,"Enclosure, Bottom, Maximizer 2",onorder,Lunar Netsuite,1,39880.0
10-004675,"Inductor Assy, DCDC, 22.8uH",onorder,Lunar Netsuite,2,38520.0
10-006689,RES 6.2 OHM 1% 1W 2512 AEC-Q,onhand,CM: Qualitel WA,2,38330.2811
