LPN,Description,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27
90-06948B,Non Compliant BB,,,,,,,,,,,,,,,,
90-06948C,Gen 1 LFP with cover,,,,,,,,,,,,,,,,
90-07675A,Gen 1 LFP without cover,"1,101",,,,,,,,,,,,,,,
10-07781A,Pilot Cell Array Builds,,,,,,,,,,,,,,,,
90-08373A,Gen 2 LFP,,,,,,,,,,,,,,,,
90-06700A,"MSA Controller, Boxed	",,,,,,,,,,,,,,,,
10-06103C,"PCBA, Terminal Board, Type C, Coated	",,,,,,,,,,,,,,,,
10-06105C,"PCBA, Power Board, Type C, Coated",,,,,,,,,,,,,,,,
90-001221,"Bridge, Boxed, Lunar Blue",,,,,,,,,,,,,,,,
90-06801A,"Bridge, Type B, Boxed, Lunar Blue",63,,,,,,,,,,,,,,,
90-001223,"20kWh Hardware Kit, Lunar Blue",,,,,,,,,,,,,,,,
90-07290A,20kWh LFP ESS Hardware Kit,,,,,,,,,,,,,,,,
90-06823A,"15kWh Hardware Kit, Lunar Blue",,,,,,,,,,,,,,,,
90-003540,"Inverter with Cover and Brackets, Boxed, Lunar Blue",,,,,,,,,,,,,,,,
90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",,,,,,,,,,,,,,,,
90-06889C,ReMan/Rework/Refurb Type C Inverter,,,,,,,,,,,,,,,,
90-002878,"Maximizer, Boxed, Box of 20",,,,,,,,,,,,,,,,
90-06831D,"Maximizer, Boxed, Type D",,,,,,,,,,,,,,,,
90-06831E,"Maximizer, Boxed, Type E",337,,,,,,,,,,,,,,,
90-004034,"Maximizer Hub, Boxed",216,,,,,,,,,,,,,,,
90-06789A,"Rogowski Coil, Boxed",375,,,,,,,,,,,,,,,
90-07282A,10kWh LFP ESS Hardware Kit,,,,,,,,,,,,,,,,
90-07289A,15kWh LFP ESS Hardware Kit,,,,,,,,,,,,,,,,
90-07124A,25kWh LFP ESS Hardware Kit,435,,,,,,,,,,,,,,,
90-07125A,30kWh LFP ESS Hardware Kit,30,,,,,,,,,,,,,,,
90-07535A,Max 2.0 (units),,,,,,,,,,,,,,,,
90-07535A,Max 2.0 FAT + SAT (PCBA subass. + loose CKD - units),,,,,,,,,,,,,,,,
90-08096A,Gen 2 Inverter,,,,,,,,,,,,,,,,
,Lunar Link,,,,,,,,,,,,,,,,
,10 kWh - Gen 2 HW Kit,,,,,,,,,,,,,,,,
,15 kWh - Gen 2 HW Kit,,,,,,,,,,,,,,,,
,20 kWh - Gen 2 HW Kit,,,,,,,,,,,,,,,,
,25 kWh - Gen 2 HW Kit,,,,,,,,,,,,,,,,
,30 kWh - Gen 2 HW Kit,,,,,,,,,,,,,,,,
