Updated at,Parent Product LPN,Parent Product Name,level,guid,item_number,item_name,revision,procurement_type,unit_of_measure,category_name,lifecycle_phase,vendor,makebuy,Parent PCBA LPN,Parent PCBA Name,Product System Usage,Flat Qty,Usage Qty,Sourcing Flat Qty,Sourcing Usage Qty,Parent FG Built,Parent FG Consumed,WIP Consumed,CM Raw Inventory
08-25-2026,,,0,NA,Custom Parent List,,,,,,,,,,,1,1,1,0,0,0,0,0,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",1,ASCV0OX7M0JRANI2YZX7,90-001223,"20kWh Hardware Kit, Lunar Blue",7,MTS,Each,Top Level Assembly,In Production,,Make,,,1,1,1,0,0,3041,3041,0,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",2,ASCV0OX7M0JRANEZYA5Q,LR-000003,"Lunar Packaging, Shipping, and Storage Standards",6,OTS,Each,Lunar Requirement,In Production,,NA,,,1,0,0,0,0,3041,0,0,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",2,L3N6BZ8IXBU2LYUQA9JD,WI-000100,"Packaging Instruction, ESS Hardware Kit 20kWh",4,MTS,Each,Work Instruction,In Production,,Make,,,1,0,0,0,0,3041,0,0,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",2,L3N6BZ8IXBU2LYR7VHJO,10-004397,"Foot Bracket Bottom Cover Assembly, Even, Lunar Blue",4,MTS,Each,Assembly,In Production,A//JPOND,Buy,,,1,1,1,1,1,3041,3041,0,2117
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",3,WEYHMAJT8M5DW9BPFR5R,10-004794,"ESS Bottom Cover Asy, Even, Lunar Blue",5,MTS,Each,Part,In Production,A//JPOND,-,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",4,WEYHMAJT8M5DW9MI7LJ8,LR-000029,Cosmetic Standard for Painted Plastic Parts,4,MTS,Each,Lunar Requirement,In Production,,NA,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",4,BTDW1PY8N1KSBO1XM0ZW,PS-000023,"Paint, Charcoal Suede",2,MTS,Each,Product Specification,In Production,P//JPOND,-,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",4,ASCV0OX7M0JRANP2XJ5X,10-06790A,"ESS Bottom Cover, Even, Lunar Blue",4,MTS,Each,Part,In Production,A//JPOND,-,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",5,BTDW1PY8N1KSBPB4DRHE,10-001476,"Insert,Heat Set,M5,Tapered",1,OTS,Each,Part,In Production,,-,,,1,4,4,0,0,3041,12164,8468,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",5,L3N6BZ8IXBU2LY6N88TQ,10-06693A,"Polycarbonate, Unfilled, UL-94 5VA, UV Stabilized, Lunar Blue",1,OTS,Gram,Part,In Production,,-,,,1,905,905,0,0,3041,2752105,1915885,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",4,6O8RWKT3IWFN6JR8TTHB,10-004438,ESS Bottom Cover Reveal Lunar Blue,5,MTS,Each,Part,In Production,A//JPOND,-,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",5,L3N6BZ8IXBU2LYB7WA9N,PS-000021,"Resin Color Match, Charcoal Suede",1,MTS,Each,Product Specification,In Production,,-,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",5,L3N6BZ8IXBU2LY6N88TQ,10-06693A,"Polycarbonate, Unfilled, UL-94 5VA, UV Stabilized, Lunar Blue",1,OTS,Gram,Part,In Production,,-,,,1,23.3,23.3,0,0,3041,70855.3,49326.1,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",4,L3N6BZ8IXBU2LZL7HTPT,10-004575,"Paint, Charcoal Suede",1,MTS,Gram,Part,In Production,,-,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",4,XFZINBKU9N6EXASAJLV0,10-005626,"Adhesive, Cyanoacrylate (CA) Medium Viscosity",1,OTS,Each,Part,In Production,,-,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",3,0I2LQENXCQ9H0DJXNL7C,10-005046,"ESS Foot Bracket Asy, Even, Type 3",2,MTS,Each,Part,In Production,A//JPOND,-,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",4,WEYHMAJT8M5DW9GURNRL,10-003128,"Ball Stud Receiver, 8lb, .135"" Hole Dia, 0.17"" Thk, SS",3,MTS,Each,Part,In Production,A//Pencom,-,,,1,1,1,0,0,3041,3041,2117,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",4,L3N6BZ8IXBU2LZL7HT71,10-003657,"RIVET,BLIND, DOMED,1/8 IN DIA,0.063IN-0.125IN GRIP, ALUM",1,OTS,Each,Part,In Production,,-,,,1,2,2,0,0,3041,6082,4234,0
08-25-2026,90-001223,"20kWh Hardware Kit, Lunar Blue",4,Q8SBG4DN2GZ7Q39NDBXE,10-004416,"Foot Bracket, Even, Type 3",4,MTS,Each,Part,In Production,A//JPOND,-,,,1,1,1,0,0,3041,3041,2117,0
