product_lpn,period_start,qty
10-06103C,2026-09-01,425
10-06103C,2026-10-01,493
10-06103C,2026-11-01,300
10-06103C,2026-12-01,300
10-06103C,2027-01-01,0
10-06103C,2027-02-01,0
10-06103C,2027-03-01,0
10-06103C,2027-04-01,0
10-06103C,2027-05-01,0
10-06103C,2027-06-01,0
10-06103C,2027-07-01,0
10-06103C,2027-08-01,0
10-06103C,2027-09-01,0
10-06103C,2027-10-01,0
10-06103C,2027-11-01,0
10-06103C,2027-12-01,0
10-06105C,2026-09-01,475
10-06105C,2026-10-01,493
10-06105C,2026-11-01,300
10-06105C,2026-12-01,300
10-06105C,2027-01-01,0
10-06105C,2027-02-01,0
10-06105C,2027-03-01,0
10-06105C,2027-04-01,0
10-06105C,2027-05-01,0
10-06105C,2027-06-01,0
10-06105C,2027-07-01,0
10-06105C,2027-08-01,0
10-06105C,2027-09-01,0
10-06105C,2027-10-01,0
10-06105C,2027-11-01,0
10-06105C,2027-12-01,0
10-07781A,2026-09-01,0
10-07781A,2026-10-01,0
10-07781A,2026-11-01,200
10-07781A,2026-12-01,800
10-07781A,2027-01-01,0
10-07781A,2027-02-01,0
10-07781A,2027-03-01,0
10-07781A,2027-04-01,0
10-07781A,2027-05-01,0
10-07781A,2027-06-01,0
10-07781A,2027-07-01,0
10-07781A,2027-08-01,0
10-07781A,2027-09-01,0
10-07781A,2027-10-01,0
10-07781A,2027-11-01,0
10-07781A,2027-12-01,0
90-001221,2026-09-01,0
90-001221,2026-10-01,0
90-001221,2026-11-01,0
90-001221,2026-12-01,0
90-001221,2027-01-01,0
90-001221,2027-02-01,0
90-001221,2027-03-01,0
90-001221,2027-04-01,0
90-001221,2027-05-01,0
90-001221,2027-06-01,0
90-001221,2027-07-01,0
90-001221,2027-08-01,0
90-001221,2027-09-01,0
90-001221,2027-10-01,0
90-001221,2027-11-01,0
90-001221,2027-12-01,0
90-001223,2026-09-01,0
90-001223,2026-10-01,0
90-001223,2026-11-01,0
90-001223,2026-12-01,0
90-001223,2027-01-01,0
90-001223,2027-02-01,0
90-001223,2027-03-01,0
90-001223,2027-04-01,0
90-001223,2027-05-01,0
90-001223,2027-06-01,0
90-001223,2027-07-01,0
90-001223,2027-08-01,0
90-001223,2027-09-01,0
90-001223,2027-10-01,0
90-001223,2027-11-01,0
90-001223,2027-12-01,0
90-002878,2026-09-01,0
90-002878,2026-10-01,0
90-002878,2026-11-01,0
90-002878,2026-12-01,0
90-002878,2027-01-01,0
90-002878,2027-02-01,0
90-002878,2027-03-01,0
90-002878,2027-04-01,0
90-002878,2027-05-01,0
90-002878,2027-06-01,0
90-002878,2027-07-01,0
90-002878,2027-08-01,0
90-002878,2027-09-01,0
90-002878,2027-10-01,0
90-002878,2027-11-01,0
90-002878,2027-12-01,0
90-003540,2026-09-01,0
90-003540,2026-10-01,0
90-003540,2026-11-01,0
90-003540,2026-12-01,0
90-003540,2027-01-01,0
90-003540,2027-02-01,0
90-003540,2027-03-01,0
90-003540,2027-04-01,0
90-003540,2027-05-01,0
90-003540,2027-06-01,0
90-003540,2027-07-01,0
90-003540,2027-08-01,0
90-003540,2027-09-01,0
90-003540,2027-10-01,0
90-003540,2027-11-01,0
90-003540,2027-12-01,0
90-004034,2026-09-01,750
90-004034,2026-10-01,750
90-004034,2026-11-01,724
90-004034,2026-12-01,700
90-004034,2027-01-01,0
90-004034,2027-02-01,0
90-004034,2027-03-01,0
90-004034,2027-04-01,0
90-004034,2027-05-01,0
90-004034,2027-06-01,0
90-004034,2027-07-01,0
90-004034,2027-08-01,0
90-004034,2027-09-01,0
90-004034,2027-10-01,0
90-004034,2027-11-01,0
90-004034,2027-12-01,0
90-06700A,2026-09-01,400
90-06700A,2026-10-01,500
90-06700A,2026-11-01,500
90-06700A,2026-12-01,500
90-06700A,2027-01-01,500
90-06700A,2027-02-01,500
90-06700A,2027-03-01,500
90-06700A,2027-04-01,600
90-06700A,2027-05-01,600
90-06700A,2027-06-01,600
90-06700A,2027-07-01,700
90-06700A,2027-08-01,700
90-06700A,2027-09-01,700
90-06700A,2027-10-01,700
90-06700A,2027-11-01,700
90-06700A,2027-12-01,700
90-06789A,2026-09-01,370
90-06789A,2026-10-01,375
90-06789A,2026-11-01,375
90-06789A,2026-12-01,375
90-06789A,2027-01-01,375
90-06789A,2027-02-01,375
