Parent Product LPN,Description,CM,Product Alias,Product Usage per ESS,Generation Alias
90-001223,"20kWh Hardware Kit, Lunar Blue",Sienna,HW Kit,1,Gen 1
90-004034,"Maximizer Hub, Boxed",Sienna,PV Hub,1,Gen 1
90-005336,"Lifting Tool, Boxed",Sienna,Lifting Tool,1,Gen 1
90-005375,"ESS Ground Mount Parts, Boxed",Sienna,Ground Mount,1,Gen 1
90-06789A,"Rogowski Coil, Boxed",Sienna,Rogowski Coil,1,Gen 1/2
90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Sienna,Bridge,1,Gen 1/2
90-06831E,"Maximizer, Boxed",Sienna,Maximizer 1.3 Boxed,1,Gen 1
90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,9.6 KW Inverter,1,Gen 1
90-06948C,"LFP DC ESS With Cover and Brackets, Boxed, Lunar Blue",Qualitel,2.0 LFP - EVT with cover,4,Gen 1
10-06105C,"PCBA, Power Board, Type C, Coated",Qualitel,Power PCBA (IPC),1,Gen 1
10-06103C,"PCBA, Terminal Board, Type C, Coated",Qualitel,Terminal PCBA (TRM),1,Gen 1
90-06700A,"MSA Controller, Boxed",Qualitel,MSAC,1,Gen 1/2
90-07290A,20kWh LFP ESS Hardware Kit,Sienna,LFP HW Kit,1,Gen 1
90-07675A,LFP Battery Block with Wall Bracket,Qualitel,2.0 LFP - EVT without cover,4,Gen 1
90-08096A,"Lunar 3 Inverter, Boxed",Plexus,11 KW Inverter,1,Gen 2
90-07535A,"Maximizer Gen 2, Boxed",Unigen,Maximizer 2.0 Boxed,20,Gen 2
90-08373A,"Battery Block with Wall Bracket, LFP, L2.1",Qualitel,2.1 LFP Block,4,Gen 2
10-08364A,"Assembly, Lunar Link",TBD,Lunar Link,1,Gen 2
