Parent Product LPN,Description,CM,Product Alias,Product Usage per ESS
90-001223,"20kWh Hardware Kit, Lunar Blue",Sienna,HW Kit,1
90-004034,"Maximizer Hub, Boxed",Sienna,PV Hub,1
90-005336,"Lifting Tool, Boxed",Sienna,Lifting Tool,1
90-005375,"ESS Ground Mount Parts, Boxed",Sienna,Ground Mount,1
90-06789A,"Rogowski Coil, Boxed",Sienna,Rogowski Coil,1
90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Sienna,Bridge,1
90-06831D,"Maximizer, Boxed",Sienna,Maximizer Box,1
90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,9.6 KW Inverter,1
90-06948C,"LFP DC ESS With Cover and Brackets, Boxed, Lunar Blue",Qualitel,2.0 LFP - EVT with cover,4
10-06105C,"PCBA, Power Board, Type C, Coated",Qualitel,Power PCBA (IPC),1
10-06103C,"PCBA, Terminal Board, Type C, Coated",Qualitel,Terminal PCBA (TRM),1
90-06700A,"MSA Controller, Boxed",Qualitel,MSAC,1
90-07290A,20kWh LFP ESS Hardware Kit,Sienna,LFP HW Kit,1
90-07675A,LFP Battery Block with Wall Bracket,Qualitel,2.0 LFP - EVT without cover,4
90-08096A,"Lunar 3 Inverter, Boxed",TBD,11 KW Inverter,1
30-07320F,30-07320E Maximizer 2p0 PCBA,TBD,Max 2.0 PCBA,20
90-08373A,"Battery Block with Wall Bracket, LFP, L2.1",Qualitel,2.1 LFP Block,4
30-07519A,Lunar Link PCBA,Sienna,Link,1
